;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Linha¹ (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan*; 17.163 ; 659 ; 446 ; 252 ; 725 ;;Jan*; 9.831 ; 390 ; 208 ; 134 ; 446 ;;;;;;;;;;;;;;;;;;
Fev*; 17.057 ; 757 ; 465 ; 255 ; 792 ;;Fev*; 10.104 ; 461 ; 231 ; 148 ; 490 ;;;;;;;;;;;;;;;;;;
Mar*; 20.324 ; 803 ; 491 ; 265 ; 828 ;;Mar*; 12.263 ; 494 ; 241 ; 153 ; 520 ;;;;;;;;;;;;;;;;;;
Abr*; 18.701 ; 808 ; 453 ; 262 ; 830 ;;Abr*; 10.961 ; 492 ; 219 ; 140 ; 512 ;;;;;;;;;;;;;;;;;;
Mai;;;;;;;Mai;;;;;;;;;;;;;;;;;;;;;;;
Jun;;;;;;;Jun;;;;;;;;;;;;;;;;;;;;;;;
Jul;;;;;;;Jul;;;;;;;;;;;;;;;;;;;;;;;
Ago;;;;;;;Ago;;;;;;;;;;;;;;;;;;;;;;;
Set;;;;;;;Set;;;;;;;;;;;;;;;;;;;;;;;
Out;;;;;;;Out;;;;;;;;;;;;;;;;;;;;;;;
Nov;;;;;;;Nov;;;;;;;;;;;;;;;;;;;;;;;
Dez;;;;;;;Dez;;;;;;;;;;;;;;;;;;;;;;;
2023; 73.245 ; 757 ; 464 ; 259 ; 830 ;;2023; 43.158 ; 459 ; 225 ; 144 ; 520 ;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan*; 19.282 ; 741 ; 480 ; 300 ; 817 ;;Jan*; 1.505 ; 59 ; 35 ; 20 ; 66 ;;;;;;;;;;;;;;;;;;
Fev*; 19.249 ; 844 ; 527 ; 321 ; 888 ;;Fev*; 1.531 ; 69 ; 38 ; 21 ; 76 ;;;;;;;;;;;;;;;;;;
Mar*; 22.571 ; 888 ; 539 ; 311 ; 914 ;;Mar*; 1.692 ; 72 ; 40 ; 21 ; 74 ;;;;;;;;;;;;;;;;;;
Abr*; 20.602 ; 886 ; 501 ; 296 ; 973 ;;Abr*; 1.653 ; 72 ; 37 ; 22 ; 74 ;;;;;;;;;;;;;;;;;;
Mai;;;;;;;Mai;;;;;;;;;;;;;;;;;;;;;;;
Jun;;;;;;;Jun;;;;;;;;;;;;;;;;;;;;;;;
Jul;;;;;;;Jul;;;;;;;;;;;;;;;;;;;;;;;
Ago;;;;;;;Ago;;;;;;;;;;;;;;;;;;;;;;;
Set;;;;;;;Set;;;;;;;;;;;;;;;;;;;;;;;
Out;;;;;;;Out;;;;;;;;;;;;;;;;;;;;;;;
Nov;;;;;;;Nov;;;;;;;;;;;;;;;;;;;;;;;
Dez;;;;;;;Dez;;;;;;;;;;;;;;;;;;;;;;;
2023; 81.704 ; 840 ; 512 ; 307 ; 973 ;;2023; 6.381 ; 68 ; 37 ; 21 ; 76 ;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;;;;;;;;
Jan*; 47.781 ; 1.850 ; 1.169 ; 706 ; 2.047 ;;;;;;;;;;;;;;;;;;;;;;;;;
Fev*; 47.941 ; 2.132 ; 1.261 ; 745 ; 2.241 ;;;;;;;;;;;;;;;;;;;;;;;;;
Mar*; 56.849 ; 2.256 ; 1.310 ; 750 ; 2.321 ;;;;;;;;;;;;;;;;;;;;;;;;;
Abr*; 51.917 ; 2.258 ; 1.211 ; 720 ; 2.372 ;;;;;;;;;;;;;;;;;;;;;;;;;
Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ago;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Set;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023; 204.488 ; 2.124 ; 1.238 ; 730 ; 2.372 ;;;;;;;;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 09/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
